date,open,high,low,close,coin
2024-12-19,715.52,735.66,686.72,687.66,binancecoin
2024-12-23,685.72,704.59,618.83,648.57,binancecoin
2024-12-27,648.82,716.37,638.46,687.52,binancecoin
2024-12-31,688.3,728.75,684.3,703.11,binancecoin
2025-01-04,703.59,716.85,697.49,713.05,binancecoin
2025-01-08,713.85,742.2,692.3,696.83,binancecoin
2025-01-12,697.07,706.14,674.29,696.73,binancecoin
2025-01-16,696.64,715.31,658.69,714.79,binancecoin
2025-01-20,715.83,728.47,674.78,682.35,binancecoin
2025-01-24,681.17,716.37,662.39,689.69,binancecoin
2025-01-28,690.54,692.8,638.4,679.68,binancecoin
2025-02-01,680.32,689.1,659.15,677.11,binancecoin
2025-02-05,677.47,681.51,523.65,573.6,binancecoin
2025-02-09,572.55,632.86,560.85,614.71,binancecoin
2025-02-13,612.4,703.18,597.78,698.07,binancecoin
2025-02-17,698.32,728.54,652.8,674.73,binancecoin
2025-02-21,674.11,681.01,631.1,657.24,binancecoin
2025-02-25,656.65,678.61,611.65,611.65,binancecoin
2025-03-01,613.06,630.37,559.2,587.55,binancecoin
2025-03-05,587.07,637.69,548.88,583.15,binancecoin
2025-03-09,582.45,611.32,576.38,593.08,binancecoin
2025-03-13,593.17,593.17,512.35,570.72,binancecoin
2025-03-17,569.41,621.16,567.68,602.02,binancecoin
2025-03-21,602.19,641.06,602.19,630.22,binancecoin
2025-03-25,630.4,639.22,619.26,635.82,binancecoin
2025-03-29,637.16,644.81,615.06,619.52,binancecoin
2025-04-02,619.42,623.16,588.42,611.03,binancecoin
2025-04-06,610.65,611.36,578.47,594.09,binancecoin
2025-04-10,593.57,593.57,523.38,582.26,binancecoin
2025-04-14,582.3,599.6,567.47,583.64,binancecoin
2025-04-18,583.79,592.8,576.67,590.14,binancecoin
2025-04-22,590.2,607.52,587.72,596.74,binancecoin
2025-04-26,597.12,619.3,595.29,600.19,binancecoin
2025-04-30,600.27,610.41,598.12,600.59,binancecoin
2025-05-04,600.96,604.67,593.07,599.25,binancecoin
2025-05-08,599.29,608.56,584.65,603.14,binancecoin
2025-05-12,602.97,674.3,601.25,650.87,binancecoin
2025-05-16,650.96,690.35,642.22,651.14,binancecoin
2025-05-20,651.11,658.88,636.19,651.04,binancecoin
2025-05-24,650.97,689.76,641.41,655.37,binancecoin
2025-05-28,657.13,693.02,657.13,687.44,binancecoin
2025-06-01,687.4,689.77,648.65,658.57,binancecoin
2025-06-05,658.55,671.88,648.09,663.7,binancecoin
2025-06-09,663.65,670.13,627.41,652.27,binancecoin
2025-06-13,652.28,673.62,648.87,656.48,binancecoin
2025-06-17,656.14,659.13,639.26,651.48,binancecoin
2025-06-21,650.63,658.56,638.09,641.47,binancecoin
2025-06-25,641.57,644.95,602.75,643.41,binancecoin
2025-06-29,644.24,649.55,640.58,648.77,binancecoin
2025-07-03,648.76,664.55,644.68,660.03,binancecoin
2025-07-07,659.99,665.17,650.7,663.02,binancecoin
2025-07-11,663.18,686.93,656.66,685.11,binancecoin
2025-07-15,685.71,706.95,680.95,689.32,binancecoin
2025-07-19,689.18,759.58,676.25,729.51,binancecoin
2025-07-23,729.65,786.84,722.5,786.48,binancecoin
2025-07-27,786.78,808.09,746.44,794.29,binancecoin
2025-07-31,792.87,858.34,773.43,793.87,binancecoin
2025-08-04,793.12,812.03,731.72,751.4,binancecoin
2025-08-08,751.22,787.19,747.06,787.19,binancecoin
2025-08-12,787.83,825.28,781.23,806.83,binancecoin
2025-08-16,806.2,866.96,799.29,827.29,binancecoin
2025-08-20,827.63,862.74,823.46,823.46,binancecoin
2025-08-24,823.19,899.77,819.39,880.21,binancecoin
2025-08-28,880.29,885.53,831.87,856.06,binancecoin
2025-09-01,855.45,878.8,851.09,857.82,binancecoin
2025-09-05,856.74,866.88,841.09,843.67,binancecoin
2025-09-09,843.71,884.34,843.44,878.23,binancecoin
2025-09-13,879.05,928.67,872.18,925.17,binancecoin
2025-09-17,925.37,958.49,912.06,955.35,binancecoin
2025-09-21,956.04,1042.47,947.32,1042.41,binancecoin
2025-09-25,1043.27,1079.07,965.16,1018.07,binancecoin
2025-09-29,1018.46,1019.64,933.68,993.21,binancecoin
2025-10-03,993.34,1097.5,992.07,1090.31,binancecoin
2025-10-07,1091.16,1237.91,1085.89,1224.57,binancecoin
2025-10-11,1226.05,1330.51,909.86,1110.81,binancecoin
2025-10-15,1104.5,1369.99,1084.01,1212.28,binancecoin
2024-10-16,157.49,158.9,151.23,154.62,solana
2024-10-20,154.9,159.66,147.98,159.59,solana
2024-10-24,159.63,173.69,157.77,171.31,solana
2024-10-28,171.04,178.68,160.46,176.63,solana
2024-11-01,176.65,182.98,167.58,168.4,solana
2024-11-05,168.3,173.69,155.19,157.61,solana
2024-11-09,157.7,204.79,157.21,199.83,solana
2024-11-13,199.79,224.9,196.03,213.07,solana
2024-11-17,212.11,222.4,201.75,216.05,solana
2024-11-21,215.87,247.84,212.97,236.04,solana
2024-11-25,235.96,263.21,230.7,253.64,solana
2024-11-29,253.19,256.23,223.47,237.65,solana
2024-12-03,237.6,246.61,220.24,225.53,solana
2024-12-07,225.65,246.24,217.5,237.01,solana
2024-12-11,237.09,242.74,204.07,213.53,solana
2024-12-15,213.65,234.11,211.94,219.87,solana
2024-12-19,219.88,228.26,204.88,205.36,solana
2024-12-23,205.85,211.85,176.48,180.15,solana
2024-12-27,180.26,201.47,176.94,188.14,solana
2024-12-31,188.24,196.76,182.89,190.7,solana
2025-01-04,190.95,219.36,187.83,217.65,solana
2025-01-08,217.79,222.24,202.23,202.49,solana
2025-01-12,202.25,203.1,182.42,188.06,solana
2025-01-16,188.05,205.88,172.6,205.76,solana
2025-01-20,206.17,293.31,198.93,251.97,solana
2025-01-24,251.14,271.96,231.91,253.5,solana
2025-01-28,254.45,270.27,221.95,234.98,solana
2025-02-01,235.19,243.91,223.64,231.51,solana
2025-02-05,231.6,233.83,183.18,207.42,solana
2025-02-09,206.96,208.73,188.37,199.71,solana
2025-02-13,199.5,208.4,190.01,196.6,solana
2025-02-17,196.58,205.11,187.18,188.17,solana
2025-02-21,188.26,189.41,161.66,176.02,solana
2025-02-25,176.07,180.28,141.17,141.17,solana
2025-03-01,141.96,148.27,126.1,148.17,solana
2025-03-05,147.98,178.32,132.68,145.06,solana
2025-03-09,144.34,152.53,135.24,136.88,solana
2025-03-13,136.88,139.63,113.78,126.57,solana
2025-03-17,126.44,136.35,121.11,126.17,solana
2025-03-21,126.12,136.09,121.91,127.68,solana
2025-03-25,127.82,145.14,125.34,140.58,solana
2025-03-29,140.98,147.2,128.46,129.45,solana
2025-04-02,129.55,130.29,122.95,126.81,solana
2025-04-06,126.65,134.14,112.64,120.17,solana
2025-04-10,120.17,120.84,96.7,118.96,solana
2025-04-14,119.05,133.47,108.85,128.23,solana
2025-04-18,128.22,135.63,123.93,134.62,solana
2025-04-22,134.68,142.2,132.71,136.33,solana
2025-04-26,136.4,155.46,135.93,150.92,solana
2025-04-30,150.94,152.91,145.12,146.49,solana
2025-05-04,146.44,153.32,141.31,146.8,solana
2025-05-08,146.76,149.28,141.9,147.2,solana
2025-05-12,147.21,179.62,147.21,172.86,solana
2025-05-16,173.02,184.05,167.32,168.75,solana
2025-05-20,169.0,176.13,160.52,166.71,solana
2025-05-24,166.78,186.92,165.22,174.44,solana
2025-05-28,174.3,178.9,169.9,176.58,solana
2025-06-01,176.61,177.03,152.78,156.87,solana
2025-06-05,156.82,162.57,151.03,153.53,solana
2025-06-09,153.48,154.64,142.38,152.5,solana
2025-06-13,152.48,167.8,150.01,152.66,solana
2025-06-17,152.6,158.57,141.88,151.44,solana
2025-06-21,150.92,154.02,136.98,140.04,solana
2025-06-25,140.06,146.4,127.01,145.8,solana
2025-06-29,145.92,152.15,137.98,150.78,solana
2025-07-03,150.79,158.34,145.46,152.17,solana
2025-07-07,152.29,156.04,145.55,151.92,solana
2025-07-11,151.92,164.76,147.99,163.86,solana
2025-07-15,163.75,168.18,158.26,162.28,solana
2025-07-19,162.28,184.13,157.97,177.37,solana
2025-07-23,177.35,205.29,174.64,205.29,solana
2025-07-27,205.19,205.19,176.94,184.94,solana
2025-07-31,184.83,194.21,173.22,177.88,solana
2025-08-04,177.81,182.53,156.11,161.9,solana
2025-08-08,161.85,175.39,161.45,175.39,solana
2025-08-12,175.25,186.35,173.9,175.05,solana
2025-08-16,174.96,209.18,174.04,185.6,solana
2025-08-20,185.7,195.1,176.13,176.4,solana
2025-08-24,176.28,207.58,176.28,204.02,solana
2025-08-28,204.27,212.69,186.21,203.29,solana
2025-09-01,202.93,217.66,198.1,200.9,solana
2025-09-05,200.23,212.41,194.5,202.69,solana
2025-09-09,202.49,216.73,199.69,214.09,solana
2025-09-13,214.33,243.62,211.34,242.26,solana
2025-09-17,242.22,248.84,230.63,237.0,solana
2025-09-21,236.92,252.78,232.78,239.46,solana
2025-09-25,239.56,241.69,206.33,211.6,solana
2025-09-29,211.62,212.22,191.28,210.75,solana
2025-10-03,210.75,234.62,204.69,234.62,solana
2025-10-07,234.78,237.29,224.69,232.6,solana
2025-10-11,232.63,234.97,176.73,189.89,solana
2025-10-15,188.79,210.8,173.79,202.78,solana
2024-10-16,0.160409,0.160784,0.15724,0.158713,tron
2024-10-20,0.158855,0.160409,0.156834,0.157236,tron
2024-10-24,0.156743,0.160712,0.155519,0.160178,tron
2024-10-28,0.160116,0.166921,0.160097,0.16385,tron
2024-11-01,0.163862,0.170484,0.163032,0.168065,tron
2024-11-05,0.168027,0.168561,0.162496,0.162907,tron
2024-11-09,0.162885,0.164452,0.159727,0.161085,tron
2024-11-13,0.161011,0.188931,0.159983,0.188869,tron
2024-11-17,0.18796,0.204014,0.174302,0.200153,tron
2024-11-21,0.200118,0.20735,0.193307,0.19528,tron
2024-11-25,0.195225,0.222757,0.193633,0.20927,tron
2024-11-29,0.209135,0.211845,0.187358,0.203238,tron
2024-12-03,0.203255,0.220033,0.201007,0.220033,tron
2024-12-07,0.220411,0.431288,0.220411,0.325199,tron
2024-12-11,0.325107,0.334491,0.245429,0.269809,tron
2024-12-15,0.26983,0.30861,0.262197,0.28213,tron
2024-12-19,0.282118,0.304005,0.257823,0.257981,tron
2024-12-23,0.257609,0.266172,0.224977,0.243732,tron
2024-12-27,0.244005,0.259372,0.241461,0.253226,tron
2024-12-31,0.253359,0.264617,0.24993,0.252956,tron
2025-01-04,0.253059,0.270682,0.250978,0.269789,tron
2025-01-08,0.270162,0.273045,0.25275,0.252839,tron
2025-01-12,0.252416,0.25464,0.236864,0.241006,tron
2025-01-16,0.241032,0.241096,0.216851,0.23819,tron
2025-01-20,0.23828,0.256476,0.226566,0.2287,tron
2025-01-24,0.228501,0.257939,0.224048,0.25261,tron
2025-01-28,0.253456,0.261934,0.233272,0.246462,tron
2025-02-01,0.246517,0.258344,0.236359,0.253773,tron
2025-02-05,0.253717,0.256357,0.205834,0.224874,tron
2025-02-09,0.22429,0.234904,0.22173,0.231885,tron
2025-02-13,0.231525,0.248665,0.228174,0.243455,tron
2025-02-17,0.243503,0.244097,0.230236,0.242825,tron
2025-02-21,0.242638,0.247758,0.232494,0.246485,tron
2025-02-25,0.24631,0.250325,0.23483,0.239432,tron
2025-03-01,0.239936,0.24346,0.217113,0.233242,tron
2025-03-05,0.233013,0.24579,0.226671,0.242199,tron
2025-03-09,0.242235,0.250814,0.234403,0.243911,tron
2025-03-13,0.243874,0.243954,0.219733,0.223228,tron
2025-03-17,0.222777,0.226686,0.211582,0.212135,tron
2025-03-21,0.212017,0.242911,0.211131,0.234745,tron
2025-03-25,0.234513,0.240802,0.225313,0.228089,tron
2025-03-29,0.228408,0.235516,0.226008,0.232467,tron
2025-04-02,0.232152,0.23999,0.229587,0.237666,tron
2025-04-06,0.237656,0.24221,0.230671,0.238081,tron
2025-04-10,0.237712,0.239814,0.221095,0.238607,tron
2025-04-14,0.238459,0.254322,0.234657,0.254322,tron
2025-04-18,0.254361,0.258577,0.244061,0.247858,tron
2025-04-22,0.247813,0.247813,0.239798,0.24631,tron
2025-04-26,0.246408,0.249084,0.24132,0.241927,tron
2025-04-30,0.241964,0.253994,0.241964,0.243637,tron
2025-05-04,0.243767,0.249735,0.242862,0.245611,tron
2025-05-08,0.245587,0.250387,0.243739,0.248821,tron
